label,text
2,Your OTP for VPN login is 482193
2,Client meeting scheduled tomorrow at 10 AM
2,Invoice approval required today
2,Production incident needs immediate attention
2,HR policy update for employees
2,Server downtime alert

1,We are excited to announce our new product
1,Monthly newsletter from marketing team
1,Introducing our latest feature update
1,Special announcement for subscribers
1,You are receiving this email as part of our mailing list
1,Unsubscribe from future emails

0,Verify your account immediately using this link
0,Your account will be suspended click here
0,Claim your reward now limited time offer
0,Free cashback available click now
0,Security alert confirm your details
